sex,2016,2015,2010,2000
 Both sexes,9.682513661,9.807103825,10.4147541,11.99672131
 Female,5.092896175,5.192349727,5.481420765,6.368306011
 Male,14.60218579,14.77759563,15.73879781,18.1273224
